address,name,size
40080000,FUN_40080000,15
400812c4,FUN_400812c4,611
400816bc,FUN_400816bc,84
40081710,FUN_40081710,88
40081768,FUN_40081768,170
40081814,FUN_40081814,466
400819ec,FUN_400819ec,32
40081a0c,FUN_40081a0c,42
40081a38,FUN_40081a38,39
40081a60,FUN_40081a60,126
40081ae0,FUN_40081ae0,21
40081af8,FUN_40081af8,26
40081b14,FUN_40081b14,108
40081b84,FUN_40081b84,548
40081dac,FUN_40081dac,110
40081e1c,FUN_40081e1c,152
40081eb4,FUN_40081eb4,83
40081f08,FUN_40081f08,82
40081f70,FUN_40081f70,13
40081f80,FUN_40081f80,66
40081fc4,FUN_40081fc4,64
40082004,FUN_40082004,109
40082078,FUN_40082078,100
400820e0,FUN_400820e0,96
40082140,FUN_40082140,94
400821a0,FUN_400821a0,240
40082298,FUN_40082298,511
400824a4,FUN_400824a4,265
400825b4,FUN_400825b4,317
400826f4,FUN_400826f4,38
4008271c,FUN_4008271c,370
40082898,FUN_40082898,23
400828b0,FUN_400828b0,10
400828bc,FUN_400828bc,70
40082904,FUN_40082904,16
40082914,FUN_40082914,67
40082978,FUN_40082978,14
40082988,FUN_40082988,14
40082998,FUN_40082998,10
400829a4,FUN_400829a4,25
400829c0,FUN_400829c0,20
400829d4,FUN_400829d4,16
400829e4,FUN_400829e4,35
40082a08,FUN_40082a08,35
40082a2c,FUN_40082a2c,15
40082a3c,FUN_40082a3c,89
40082ae4,FUN_40082ae4,83
40082b3c,FUN_40082b3c,225
40082c24,FUN_40082c24,150
40082cc0,FUN_40082cc0,42
40082cec,FUN_40082cec,29
40082d0c,FUN_40082d0c,27
40082d28,FUN_40082d28,15
40082d38,FUN_40082d38,68
40082d7c,FUN_40082d7c,40
40082da4,FUN_40082da4,84
40082dfc,FUN_40082dfc,61
40082e3c,FUN_40082e3c,30
40082e5c,FUN_40082e5c,12
40082f0c,ESP32_IMAGE_ENTRY,559
40083438,FUN_40083438,49
4008346c,FUN_4008346c,28
40083488,FUN_40083488,370
400835fc,FUN_400835fc,38
40083624,FUN_40083624,62
40083664,FUN_40083664,24
40083680,FUN_40083680,74
400836cc,FUN_400836cc,333
4008381c,FUN_4008381c,36
40083840,FUN_40083840,29
40083860,FUN_40083860,90
400838bc,FUN_400838bc,84
40083914,FUN_40083914,15
40083924,FUN_40083924,15
40083934,FUN_40083934,37
4008395c,FUN_4008395c,108
400839c8,FUN_400839c8,32
400839e8,FUN_400839e8,48
40083a44,FUN_40083a44,26
40083a60,FUN_40083a60,18
40083a74,FUN_40083a74,18
40083a88,FUN_40083a88,65
40083acc,FUN_40083acc,95
40083b2c,FUN_40083b2c,31
40083b4c,FUN_40083b4c,37
40083b74,FUN_40083b74,70
40083bbc,FUN_40083bbc,16
40083bcc,FUN_40083bcc,12
40083bd8,FUN_40083bd8,17
40083bec,FUN_40083bec,17
40083c00,FUN_40083c00,17
40083c14,FUN_40083c14,18
40083c3c,FUN_40083c3c,20
40083c50,FUN_40083c50,16
40083c60,FUN_40083c60,17
40083c74,FUN_40083c74,16
40083c84,FUN_40083c84,13
40083c94,FUN_40083c94,20
40083ca8,FUN_40083ca8,18
40083cc8,FUN_40083cc8,18
40083ce4,FUN_40083ce4,8
40083cec,FUN_40083cec,21
40083d04,FUN_40083d04,12
40083d10,FUN_40083d10,17
40083d24,FUN_40083d24,10
40083d30,FUN_40083d30,15
40083d54,FUN_40083d54,17
40083d68,FUN_40083d68,16
40083d78,FUN_40083d78,22
40083d90,FUN_40083d90,33
40083db4,FUN_40083db4,242
40083eac,FUN_40083eac,32
40083ecc,FUN_40083ecc,79
40083f1c,FUN_40083f1c,54
40083f54,FUN_40083f54,231
40084044,FUN_40084044,30
40084064,FUN_40084064,84
400840bc,FUN_400840bc,50
400840f0,FUN_400840f0,10
400840fc,FUN_400840fc,10
40084108,FUN_40084108,33
4008412c,FUN_4008412c,49
40084160,FUN_40084160,14
40084170,FUN_40084170,16
40084180,FUN_40084180,24
40084198,FUN_40084198,18
400841ac,FUN_400841ac,61
400841ec,FUN_400841ec,59
4008422c,FUN_4008422c,90
40084288,FUN_40084288,74
400842d4,FUN_400842d4,120
40084354,FUN_40084354,186
40084410,FUN_40084410,52
40084444,FUN_40084444,21
4008445c,FUN_4008445c,12
40084468,FUN_40084468,49
4008449c,FUN_4008449c,237
4008458c,FUN_4008458c,22
400845a4,FUN_400845a4,23
400845bc,FUN_400845bc,118
40084634,FUN_40084634,19
40084648,FUN_40084648,36
4008466c,FUN_4008466c,102
400846d4,FUN_400846d4,126
40084754,FUN_40084754,130
400847d8,FUN_400847d8,83
4008482c,FUN_4008482c,93
4008488c,FUN_4008488c,18
400848a0,FUN_400848a0,31
400848c0,FUN_400848c0,28
400848dc,FUN_400848dc,74
40084928,FUN_40084928,20
4008493c,FUN_4008493c,260
40084a40,FUN_40084a40,95
40084aa0,FUN_40084aa0,11
40084aac,FUN_40084aac,30
40084acc,FUN_40084acc,48
40084ff0,FUN_40084ff0,43
4008501c,FUN_4008501c,144
400850b4,FUN_400850b4,23
400850cc,FUN_400850cc,90
40085140,FUN_40085140,22
40085158,FUN_40085158,58
40085194,FUN_40085194,14
400851a4,FUN_400851a4,14
400851b4,FUN_400851b4,16
400851c4,FUN_400851c4,16
400851d4,FUN_400851d4,15
400851e4,FUN_400851e4,15
400851f4,FUN_400851f4,22
4008520c,FUN_4008520c,18
40085220,FUN_40085220,22
40085238,FUN_40085238,22
40085250,FUN_40085250,58
4008528c,FUN_4008528c,89
400852e8,FUN_400852e8,14
400852f8,FUN_400852f8,34
4008531c,FUN_4008531c,46
40085484,FUN_40085484,21
400854ec,FUN_400854ec,6
40085914,FUN_40085914,10
40085924,FUN_40085924,155
400859c4,FUN_400859c4,20
400859d8,FUN_400859d8,10
400859e8,FUN_400859e8,38
40085f4c,FUN_40085f4c,10
40085f58,FUN_40085f58,19
40085f74,FUN_40085f74,26
40085f9c,FUN_40085f9c,47
40085fe0,FUN_40085fe0,88
40086048,FUN_40086048,342
400861a4,FUN_400861a4,320
400862f8,FUN_400862f8,165
400863a0,FUN_400863a0,30
400863d0,FUN_400863d0,145
40086470,FUN_40086470,88
40086528,FUN_40086528,149
40086b4c,FUN_40086b4c,206
40086c4c,FUN_40086c4c,599
40086ea8,FUN_40086ea8,113
40086f1c,FUN_40086f1c,50
40086f58,FUN_40086f58,104
40086fc4,FUN_40086fc4,76
4008703c,FUN_4008703c,418
40087200,FUN_40087200,521
400875ac,FUN_400875ac,232
40087884,FUN_40087884,149
4008791c,FUN_4008791c,91
4008797c,FUN_4008797c,17
400879bc,FUN_400879bc,714
40087e8c,FUN_40087e8c,931
40088238,FUN_40088238,218
40088388,FUN_40088388,29
4008862c,FUN_4008862c,44
4008865c,FUN_4008865c,27
4008867c,FUN_4008867c,138
40088708,FUN_40088708,80
40088a18,FUN_40088a18,98
40088a7c,FUN_40088a7c,119
40089094,FUN_40089094,30
40089538,FUN_40089538,17
40089550,FUN_40089550,142
400895e0,FUN_400895e0,42
4008a1ec,FUN_4008a1ec,35
4008a210,FUN_4008a210,75
4008a318,FUN_4008a318,14
4008a32c,FUN_4008a32c,11
4008a338,FUN_4008a338,14
4008a348,FUN_4008a348,245
4008a8d4,FUN_4008a8d4,99
4008a940,FUN_4008a940,927
4008aeac,FUN_4008aeac,7
4008aeb4,FUN_4008aeb4,5
4008aebc,FUN_4008aebc,8
4008af04,FUN_4008af04,11
4008af14,FUN_4008af14,11
4008af24,FUN_4008af24,11
4008af38,FUN_4008af38,54
4008af7c,FUN_4008af7c,119
4008aff4,FUN_4008aff4,72
4008ba00,FUN_4008ba00,150
4008c358,FUN_4008c358,11
4008c368,FUN_4008c368,10
4008c378,FUN_4008c378,8
4008c384,FUN_4008c384,11
4008c394,FUN_4008c394,11
4008c3a4,FUN_4008c3a4,11
4008c3b4,FUN_4008c3b4,67
4008c3f8,FUN_4008c3f8,27
4008c420,FUN_4008c420,105
4008c48c,FUN_4008c48c,236
4008c57c,FUN_4008c57c,50
4008c5b0,FUN_4008c5b0,83
4008c604,FUN_4008c604,5
4008c60c,FUN_4008c60c,122
4008c788,FUN_4008c788,24
4008c9f4,FUN_4008c9f4,30
4008ca14,FUN_4008ca14,8
4008ca1c,FUN_4008ca1c,8
4008ca24,FUN_4008ca24,18
4008ca38,FUN_4008ca38,15
4008ca48,FUN_4008ca48,159
4008cae8,FUN_4008cae8,95
4008cb4c,FUN_4008cb4c,97
4008cbb0,FUN_4008cbb0,101
4008cc18,FUN_4008cc18,18
4008cc84,FUN_4008cc84,113
4008ccf8,FUN_4008ccf8,62
4008cd38,FUN_4008cd38,470
4008cf14,FUN_4008cf14,155
4008cfb4,FUN_4008cfb4,32
4008cfd4,FUN_4008cfd4,20
4008cfe8,FUN_4008cfe8,14
4008cff8,FUN_4008cff8,8
4008d000,FUN_4008d000,8
4008d008,FUN_4008d008,70
4008d094,FUN_4008d094,20
4008d0a8,FUN_4008d0a8,10
4008d0bc,FUN_4008d0bc,88
4008d118,FUN_4008d118,86
4008d170,FUN_4008d170,239
4008d268,FUN_4008d268,67
4008d2bc,FUN_4008d2bc,61
4008d2fc,FUN_4008d2fc,26
4008d318,FUN_4008d318,26
4008d338,FUN_4008d338,102
4008d3a0,FUN_4008d3a0,116
4008d414,FUN_4008d414,21
4008d43c,FUN_4008d43c,164
4008d504,FUN_4008d504,707
4008d7fc,FUN_4008d7fc,257
4008d904,FUN_4008d904,11
4008d914,FUN_4008d914,11
4008d920,FUN_4008d920,18
4008d934,FUN_4008d934,32
4008d958,FUN_4008d958,38
4008d980,FUN_4008d980,32
4008d9a4,FUN_4008d9a4,38
4008d9cc,FUN_4008d9cc,32
4008d9f4,FUN_4008d9f4,44
4008da20,FUN_4008da20,80
4008da80,FUN_4008da80,289
4008dba8,FUN_4008dba8,98
4008dc10,FUN_4008dc10,43
4008dc3c,FUN_4008dc3c,51
4008dc70,FUN_4008dc70,64
4008dcb0,FUN_4008dcb0,15
4008dcc0,FUN_4008dcc0,15
4008dcd0,FUN_4008dcd0,15
4008dcf8,FUN_4008dcf8,74
4008dd5c,FUN_4008dd5c,305
4008de98,FUN_4008de98,19
4008deb0,FUN_4008deb0,97
4008df18,FUN_4008df18,123
4008e15c,FUN_4008e15c,13
4008e170,FUN_4008e170,16
4008e180,FUN_4008e180,27
4008e1a0,FUN_4008e1a0,16
4008e1c4,FUN_4008e1c4,71
4008e244,FUN_4008e244,202
4008e31c,FUN_4008e31c,73
4008e37c,FUN_4008e37c,226
4008e474,FUN_4008e474,67
4008e5a0,FUN_4008e5a0,163
4008e644,FUN_4008e644,115
4008e6c4,FUN_4008e6c4,135
4008e754,FUN_4008e754,29
4008e788,FUN_4008e788,196
4008e860,FUN_4008e860,98
4008e8d4,FUN_4008e8d4,123
4008e950,FUN_4008e950,131
4008e9dc,FUN_4008e9dc,95
4008ea4c,FUN_4008ea4c,51
4008ea84,FUN_4008ea84,48
4008eab4,FUN_4008eab4,111
4008ebc0,FUN_4008ebc0,162
4008ed14,FUN_4008ed14,41
4008ed40,FUN_4008ed40,41
4008ed7c,FUN_4008ed7c,86
4008edd8,FUN_4008edd8,93
4008ee44,FUN_4008ee44,72
4008ee98,FUN_4008ee98,198
4008ef74,FUN_4008ef74,425
4008f180,FUN_4008f180,42
4008f1ac,FUN_4008f1ac,27
4008f1c8,FUN_4008f1c8,13
4008f258,FUN_4008f258,114
4008f2d4,FUN_4008f2d4,68
4008f31c,FUN_4008f31c,49
4008f420,FUN_4008f420,339
4008f584,FUN_4008f584,101
4008f5f8,FUN_4008f5f8,63
4008f66c,FUN_4008f66c,154
4008f758,FUN_4008f758,118
4008f7dc,FUN_4008f7dc,68
4008f820,FUN_4008f820,666
4008fadc,FUN_4008fadc,1024
4008fef8,FUN_4008fef8,219
4008ffe0,FUN_4008ffe0,24
4008fff8,FUN_4008fff8,126
40090078,FUN_40090078,5
40090080,FUN_40090080,7
40090088,FUN_40090088,39
400900b4,FUN_400900b4,24
400900cc,FUN_400900cc,5
400900d4,FUN_400900d4,7
400900dc,FUN_400900dc,20
400900f0,FUN_400900f0,5
400900f8,FUN_400900f8,5
40090100,FUN_40090100,5
40090108,FUN_40090108,5
40090110,FUN_40090110,20
40090124,FUN_40090124,6
4009012c,FUN_4009012c,74
40090180,FUN_40090180,8
40090188,FUN_40090188,16
40090198,FUN_40090198,21
400901b0,FUN_400901b0,14
400901c0,FUN_400901c0,232
400902ac,FUN_400902ac,18
400902c0,FUN_400902c0,337
40090418,FUN_40090418,133
400904a0,FUN_400904a0,34
400904c4,FUN_400904c4,61
40090504,FUN_40090504,13
40090514,FUN_40090514,25
40090530,FUN_40090530,25
4009054c,FUN_4009054c,50
40090580,FUN_40090580,14
40090590,FUN_40090590,11
4009059c,FUN_4009059c,11
400905a8,FUN_400905a8,11
400905b4,FUN_400905b4,11
400905c0,FUN_400905c0,87
40090618,FUN_40090618,165
400906c0,FUN_400906c0,17
400906d4,FUN_400906d4,17
400906e8,FUN_400906e8,666
40090998,FUN_40090998,55
400909d0,FUN_400909d0,60
40090a10,FUN_40090a10,58
40090a4c,FUN_40090a4c,16
40090a5c,FUN_40090a5c,113
40090ad4,FUN_40090ad4,139
40090b60,FUN_40090b60,26
40090b7c,FUN_40090b7c,82
40090c10,FUN_40090c10,302
40090d08,FUN_40090d08,63
40090d70,FUN_40090d70,113
40090dbc,FUN_40090dbc,76
40090e08,FUN_40090e08,118
40090e80,FUN_40090e80,28
40090e9c,FUN_40090e9c,277
40090fb4,FUN_40090fb4,50
40090fe8,FUN_40090fe8,7
40090ff0,FUN_40090ff0,56
40091028,FUN_40091028,54
40091060,FUN_40091060,18
40091074,FUN_40091074,35
40091098,FUN_40091098,27
400910b8,FUN_400910b8,281
400911dc,FUN_400911dc,137
4009126c,FUN_4009126c,17
40091280,FUN_40091280,32
400912a0,FUN_400912a0,70
400912e8,FUN_400912e8,96
4009134c,FUN_4009134c,62
400913c4,FUN_400913c4,160
400913e6,FUN_400913e6,78
40091484,FUN_40091484,27
400914a0,FUN_400914a0,29
400914c0,FUN_400914c0,42
400914f0,FUN_400914f0,276
4009160c,FUN_4009160c,18
40091620,FUN_40091620,22
40091638,FUN_40091638,22
40091650,FUN_40091650,98
400916b4,FUN_400916b4,16
400916c4,FUN_400916c4,28
400916e0,FUN_400916e0,35
40091708,FUN_40091708,214
400917e4,FUN_400917e4,51
40091818,FUN_40091818,61
40091858,FUN_40091858,180
40091910,FUN_40091910,117
40091988,FUN_40091988,61
400919c8,FUN_400919c8,134
40091a50,FUN_40091a50,21
40091a68,FUN_40091a68,21
40091a80,FUN_40091a80,71
40091ac8,FUN_40091ac8,38
40091af0,FUN_40091af0,47
40091b20,FUN_40091b20,389
40091ca8,FUN_40091ca8,38
40091cd0,FUN_40091cd0,89
40091d2c,FUN_40091d2c,139
40091dbc,FUN_40091dbc,28
40091dd8,FUN_40091dd8,115
40091e4c,FUN_40091e4c,19
40091e60,FUN_40091e60,265
40091f6c,FUN_40091f6c,48
