file_off	va	region	length	string
0x30	0x3F400030	DROM	26	esp-idf: v4.4.5 ac5d805d0e
0x50	0x3F400050	DROM	19	arduino-lib-builder
0x70	0x3F400070	DROM	8	16:41:45
0x80	0x3F400080	DROM	11	Jun 12 2023
0x90	0x3F400090	DROM	6	v4.4.5
0xC6	0x3F4000C6	DROM	4	YO1[
0x120	0x3F400120	DROM	132	~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0x1C1	0x3F4001C1	DROM	7	       
0x27D	0x3F40027D	DROM	7	       
0x2C4	0x3F4002C4	DROM	153	Hardware Serial Peripheral Interface started !!! HSPI nRF24 module initialized SUCCESSFULLY! ############################################################
0x37A	0x3F40037A	DROM	7	       
0x418	0x3F400418	DROM	7	       
0x44A	0x3F40044A	DROM	153	!!! Hardware Serial Peripheral Interface start failure! HSPI nRF24 module could NOT be initialized! #####################################################
0x501	0x3F400501	DROM	7	       
0x5C1	0x3F4005C1	DROM	7	       
0x608	0x3F400608	DROM	153	Variable Serial Peripheral Interface started !!! VSPI nRF24 module initialized SUCCESSFULLY! ############################################################
0x6BF	0x3F4006BF	DROM	7	       
0x761	0x3F400761	DROM	7	       
0x793	0x3F400793	DROM	153	!!! Variable Serial Peripheral Interface start failure! VSPI nRF24 module could NOT be initialized! #####################################################
0x82D	0x3F40082D	DROM	10	bitmapboot
0x838	0x3F400838	DROM	132	####################################################################################################################################
0x923	0x3F400923	DROM	8	        
0x945	0x3F400945	DROM	6	      
0x951	0x3F400951	DROM	4	    
0x971	0x3F400971	DROM	6	      
0x999	0x3F400999	DROM	4	    
0x9B0	0x3F4009B0	DROM	4	    
0x9EE	0x3F4009EE	DROM	6	      
0x9FA	0x3F4009FA	DROM	6	      
0xA0F	0x3F400A0F	DROM	6	      
0xA1B	0x3F400A1B	DROM	6	      
0xA27	0x3F400A27	DROM	7	       
0xA44	0x3F400A44	DROM	6	      
0xA50	0x3F400A50	DROM	4	    
0xA61	0x3F400A61	DROM	11	           
0xABF	0x3F400ABF	DROM	6	      
0xB5F	0x3F400B5F	DROM	6	      
0xB6B	0x3F400B6B	DROM	4	    
0xB85	0x3F400B85	DROM	8	        
0xC0C	0x3F400C0C	DROM	11	           
0xC24	0x3F400C24	DROM	11	           
0xC3C	0x3F400C3C	DROM	12	            
0xC5E	0x3F400C5E	DROM	6	      
0xC6A	0x3F400C6A	DROM	4	    
0xC7B	0x3F400C7B	DROM	6	      
0xCD5	0x3F400CD5	DROM	6	      
0xD1D	0x3F400D1D	DROM	6	      
0xD4C	0x3F400D4C	DROM	7	       
0xDD0	0x3F400DD0	DROM	6	      
0xDE3	0x3F400DE3	DROM	6	      
0xE16	0x3F400E16	DROM	132	                                          Firmware : Combo-Channel-Select (BT-BLE-WiFi-RC)                                          
0xE9B	0x3F400E9B	DROM	24	                        
0xEDE	0x3F400EDE	DROM	4	    
0xF8B	0x3F400F8B	DROM	26	                          
0xFA6	0x3F400FA6	DROM	24	                        
0xFEF	0x3F400FEF	DROM	4	    
0x10A7	0x3F4010A7	DROM	25	                         
0x10C1	0x3F4010C1	DROM	24	                        
0x1107	0x3F401107	DROM	5	     
0x11B0	0x3F4011B0	DROM	25	                         
0x11CA	0x3F4011CA	DROM	24	                        
0x120B	0x3F40120B	DROM	6	      
0x12B7	0x3F4012B7	DROM	25	                         
0x12D1	0x3F4012D1	DROM	24	                        
0x130D	0x3F40130D	DROM	7	       
0x13B8	0x3F4013B8	DROM	25	                         
0x13D2	0x3F4013D2	DROM	24	                        
0x13FF	0x3F4013FF	DROM	4	    
0x140C	0x3F40140C	DROM	7	       
0x1434	0x3F401434	DROM	5	     
0x14AF	0x3F4014AF	DROM	25	                         
0x14C9	0x3F4014C9	DROM	132	                                                    !Educational purposes only!                                                     
0x154E	0x3F40154E	DROM	132	                                         https://github.com/EmenstaNougat/ESP32-BlueJammer                                          
0x15D3	0x3F4015D3	DROM	132	                                               I'm not responsible for your actions!                                                
0x1658	0x3F401658	DROM	9	RadioTask
0x1662	0x3F401662	DROM	18	State 1: Bluetooth
0x1675	0x3F401675	DROM	7	bitmap1
0x167D	0x3F40167D	DROM	29	State 2: Bluetooth Low Energy
0x169B	0x3F40169B	DROM	7	bitmap2
0x16A3	0x3F4016A3	DROM	13	State 3: WiFi
0x16B1	0x3F4016B1	DROM	7	bitmap3
0x16B9	0x3F4016B9	DROM	11	State 4: RC
0x16C5	0x3F4016C5	DROM	7	bitmap4
0x16CD	0x3F4016CD	DROM	22	State 0: Idle & Status
0x16F0	0x3F4016F0	DROM	9	Connected
0x16FA	0x3F4016FA	DROM	25	SSD1306 allocation failed
0x1714	0x3F401714	DROM	11	by @emensta
0x248A	0x3F40248A	DROM	4	fw33
0x249A	0x3F40249A	DROM	4	&w33
0x24AA	0x3F4024AA	DROM	4	>w33
0x24BA	0x3F4024BA	DROM	4	~w33
0x24C6	0x3F4024C6	DROM	8	;spgfw33
0x24D6	0x3F4024D6	DROM	8	;spgfw33
0x24E6	0x3F4024E6	DROM	8	;s3gfw33
0x24FA	0x3F4024FA	DROM	4	gw33
0x2519	0x3F402519	DROM	5	<;b31
0x2645	0x3F402645	DROM	5	cngs1
0x2655	0x3F402655	DROM	5	cngs3
0x27B0	0x3F4027B0	DROM	6	esp32-
0x27B7	0x3F4027B7	DROM	14	%s%02X%02X%02X
0x27C6	0x3F4027C6	DROM	14	arduino_events
0x2875	0x3F402875	DROM	10	>[O[>>kOk>
0x28AC	0x3F4028AC	DROM	6	&)y)&@
0x28B9	0x3F4028B9	DROM	4	%?Z<
0x28DD	0x3F4028DD	DROM	6	j`````
0x2906	0x3F402906	DROM	5	08>80
0x292C	0x3F40292C	DROM	7	db6IV P
0x2960	0x3F402960	DROM	5	>QIE>
0x296A	0x3F40296A	DROM	10	rIIIF!AIM3
0x2979	0x3F402979	DROM	12	'EEE9<JII1A!
0x2988	0x3F402988	DROM	9	6III6FII)
0x29B0	0x3F4029B0	DROM	6	>A]YN|
0x29BB	0x3F4029BB	DROM	9	III6>AAA"
0x29C5	0x3F4029C5	DROM	4	AAA>
0x29CA	0x3F4029CA	DROM	4	IIIA
0x29D3	0x3F4029D3	DROM	5	>AAQs
0x29E2	0x3F4029E2	DROM	4	 @A?
0x29ED	0x3F4029ED	DROM	4	@@@@
0x29FB	0x3F4029FB	DROM	5	>AAA>
0x2A05	0x3F402A05	DROM	5	>AQ!^
0x2A0D	0x3F402A0D	DROM	7	)F&III2
0x2A19	0x3F402A19	DROM	5	?@@@?
0x2A23	0x3F402A23	DROM	6	?@8@?c
0x2A32	0x3F402A32	DROM	5	aYIMC
0x2A4B	0x3F402A4B	DROM	5	@@@@@
0x2A55	0x3F402A55	DROM	5	 TTx@
0x2A5B	0x3F402A5B	DROM	13	(DD88DDD(8DD(
0x2A69	0x3F402A69	DROM	4	8TTT
0x2A82	0x3F402A82	DROM	4	 @@=
0x2A9A	0x3F402A9A	DROM	6	x8DDD8
0x2AAF	0x3F402AAF	DROM	5	HTTT$
0x2AB6	0x3F402AB6	DROM	8	?D$<@@ |
0x2AC3	0x3F402AC3	DROM	7	<@0@<D(
0x2AD1	0x3F402AD1	DROM	6	|DdTLD
0x2AEB	0x3F402AEB	DROM	5	<&#&<
0x2AF5	0x3F402AF5	DROM	30	:@@ z8TTUY!UUyA"TTxB!UTx@ TUy@
0x2B18	0x3F402B18	DROM	15	9UUUY9TTTY9UTTX
0x2B33	0x3F402B33	DROM	4	E|@}
0x2B40	0x3F402B40	DROM	4	|TUE
0x2B45	0x3F402B45	DROM	6	 TT|T|
0x2B4E	0x3F402B4E	DROM	26	I2III2:DDD:2JHH0:AA!z:B@ x
0x2B6C	0x3F402B6C	DROM	13	}=BBB==@@@=<$
0x2B7A	0x3F402B7A	DROM	9	$$H~ICf+/
0x2B90	0x3F402B90	DROM	5	 TTyA
0x2B97	0x3F402B97	DROM	13	D}A0HHJ28@@"z
0x2BAC	0x3F402BAC	DROM	18	1}&))/(&)))&0HM@ 8
0x2CD0	0x3F402CD0	DROM	5	8DD8D
0x2CD6	0x3F402CD6	DROM	5	JJJ4~
0x2CE4	0x3F402CE4	DROM	9	cUIAc8DD<
0x2D05	0x3F402D05	DROM	12	rL0JMM00HxH0
0x2D12	0x3F402D12	DROM	8	bZF=>III
0x2D1F	0x3F402D1F	DROM	21	~*****DD_DD@QJD@@DJQ@
0x2D67	0x3F402D67	DROM	4	<<<<
0x3297	0x3F403297	DROM	15	uart_event_task
0x32F6	0x3F4032F6	DROM	139	"(Cannot use REG_SET_FIELD for DPORT registers use DPORT_REG_SET_FIELD)" && (!((((pin_name)) >= 0x3ff00000) && ((pin_name)) <= 0x3ff13FFC))
0x3382	0x3F403382	DROM	132	/C:\Users\emens\AppData\Local\Arduino15\packages\esp32\hardware\esp32\2.0.10/tools/sdk/esp32/include/hal/esp32/include/hal/gpio_ll.h
0x3407	0x3F403407	DROM	39	uart_intr_config(uart->num, &uart_intr)
0x342F	0x3F40342F	DROM	104	C:\Users\emens\AppData\Local\Arduino15\packages\esp32\hardware\esp32\2.0.10\cores\esp32\esp32-hal-uart.c
