file_off	va	string
0x30	0x3F400030	esp-idf: v4.4.5 ac5d805d0e
0x50	0x3F400050	arduino-lib-builder
0x80	0x3F400080	Jun 12 2023
0x90	0x3F400090	v4.4.5
0x2C4	0x3F4002C4	Hardware Serial Peripheral Interface started !!! HSPI nRF24 module initialized SUCCESSFULLY! ############################################################
0x44A	0x3F40044A	!!! Hardware Serial Peripheral Interface start failure! HSPI nRF24 module could NOT be initialized! #####################################################
0x608	0x3F400608	Variable Serial Peripheral Interface started !!! VSPI nRF24 module initialized SUCCESSFULLY! ############################################################
0x793	0x3F400793	!!! Variable Serial Peripheral Interface start failure! VSPI nRF24 module could NOT be initialized! #####################################################
0x82D	0x3F40082D	bitmapboot
0xE16	0x3F400E16	                                          Firmware : Combo-Channel-Select (BT-BLE-WiFi-RC)                                          
0x14C9	0x3F4014C9	                                                    !Educational purposes only!                                                     
0x154E	0x3F40154E	                                         https://github.com/EmenstaNougat/ESP32-BlueJammer                                          
0x15D3	0x3F4015D3	                                               I'm not responsible for your actions!                                                
0x1658	0x3F401658	RadioTask
0x1662	0x3F401662	State 1: Bluetooth
0x1675	0x3F401675	bitmap1
0x167D	0x3F40167D	State 2: Bluetooth Low Energy
0x169B	0x3F40169B	bitmap2
0x16A3	0x3F4016A3	State 3: WiFi
0x16B1	0x3F4016B1	bitmap3
0x16B9	0x3F4016B9	State 4: RC
0x16C5	0x3F4016C5	bitmap4
0x16CD	0x3F4016CD	State 0: Idle & Status
0x16F0	0x3F4016F0	Connected
0x16FA	0x3F4016FA	SSD1306 allocation failed
0x1714	0x3F401714	by @emensta
0x24C6	0x3F4024C6	;spgfw33
0x24D6	0x3F4024D6	;spgfw33
0x24E6	0x3F4024E6	;s3gfw33
0x2645	0x3F402645	cngs1
0x2655	0x3F402655	cngs3
0x27B0	0x3F4027B0	esp32-
0x27B7	0x3F4027B7	%s%02X%02X%02X
0x27C6	0x3F4027C6	arduino_events
0x292C	0x3F40292C	db6IV P
0x296A	0x3F40296A	rIIIF!AIM3
0x2979	0x3F402979	'EEE9<JII1A!
0x2988	0x3F402988	6III6FII)
0x29BB	0x3F4029BB	III6>AAA"
0x29D3	0x3F4029D3	>AAQs
0x2A0D	0x3F402A0D	)F&III2
0x2A32	0x3F402A32	aYIMC
0x2A55	0x3F402A55	 TTx@
0x2A5B	0x3F402A5B	(DD88DDD(8DD(
0x2A9A	0x3F402A9A	x8DDD8
0x2AAF	0x3F402AAF	HTTT$
0x2AD1	0x3F402AD1	|DdTLD
0x2AF5	0x3F402AF5	:@@ z8TTUY!UUyA"TTxB!UTx@ TUy@
0x2B18	0x3F402B18	9UUUY9TTTY9UTTX
0x2B4E	0x3F402B4E	I2III2:DDD:2JHH0:AA!z:B@ x
0x2B90	0x3F402B90	 TTyA
0x2B97	0x3F402B97	D}A0HHJ28@@"z
0x2CD0	0x3F402CD0	8DD8D
0x2CD6	0x3F402CD6	JJJ4~
0x2CE4	0x3F402CE4	cUIAc8DD<
